route_id,agency_id,route_short_name,route_type,route_color,route_text_color,route_long_name
68,1,1,0,ff0000,ffffff,
469,1,3,0,ff0000,ffffff,
69,1,7,0,ff0000,ffffff,
71,1,8,0,ff0000,ffffff,
67,1,10,0,ff0000,ffffff,
54,1,11,0,ff0000,ffffff,
53,1,14,0,ff0000,ffffff,
51,1,16,0,ff0000,ffffff,
47,1,19,0,ff0000,ffffff,
55,1,21,0,ff0000,ffffff,
63,1,23,0,ff0000,ffffff,
64,1,24,0,ff0000,ffffff,
65,1,25,0,ff0000,ffffff,
66,1,27,0,ff0000,ffffff,
70,1,32,0,ff0000,ffffff,
49,1,35,0,ff0000,ffffff,
50,1,36,0,ff0000,ffffff,
58,1,40,0,ff0000,ffffff,
57,1,41,0,ff0000,ffffff,
60,1,44,0,ff0000,ffffff,
59,1,45,0,ff0000,ffffff,
62,1,46,0,ff0000,ffffff,
402,1,47,0,ff0000,ffffff,
48,1,55,0,ff0000,ffffff,
84,1,61,11,00b050,ffffff,
405,1,62,11,00b050,ffffff,
79,1,65,11,00b050,ffffff,
72,1,66,11,00b050,ffffff,
75,1,69,11,00b050,ffffff,
80,1,70,11,00b050,ffffff,
82,1,73,11,00b050,ffffff,
85,1,74,11,00b050,ffffff,
86,1,76,11,00b050,ffffff,
73,1,79,11,00b050,ffffff,
413,1,85,11,00b050,ffffff,
83,1,86,11,00b050,ffffff,
78,1,90,11,00b050,ffffff,
77,1,91,11,00b050,ffffff,
76,1,93,11,00b050,ffffff,
74,1,96,11,00b050,ffffff,
247,1,97,11,00b050,ffffff,
153,1,101,3,0070c0,ffffff,
150,1,102,3,0070c0,ffffff,
148,1,103,3,0070c0,ffffff,
146,1,104,3,0070c0,ffffff,
144,1,105,3,0070c0,ffffff,
415,1,106,3,0070c0,ffffff,
183,1,112,3,0070c0,ffffff,
414,1,116,3,0070c0,ffffff,
181,1,117,3,0070c0,ffffff,
401,1,122,3,0070c0,ffffff,
410,1,123,3,0070c0,ffffff,
191,1,125,3,0070c0,ffffff,
193,1,126,3,0070c0,ffffff,
411,1,131,3,0070c0,ffffff,
216,1,133,3,0070c0,ffffff,
214,1,135,3,0070c0,ffffff,
244,1,136,3,0070c0,ffffff,
245,1,137,3,0070c0,ffffff,
217,1,138,3,0070c0,ffffff,
218,1,139,3,0070c0,ffffff,
233,1,141,3,0070c0,ffffff,
412,1,143,3,0070c0,ffffff,
124,1,162,3,0070c0,ffffff,
126,1,163,3,0070c0,ffffff,
407,1,168,3,0070c0,ffffff,
142,1,173,3,0070c0,ffffff,
133,1,178,3,0070c0,ffffff,
408,1,182,3,0070c0,ffffff,
175,1,185,3,0070c0,ffffff,
417,1,196,3,0070c0,ffffff,
383,1,202,3,0070c0,ffffff,
121,1,205,3,0070c0,ffffff,
132,1,216,3,0070c0,ffffff,
418,1,220,3,0070c0,ffffff,
158,1,221,3,0070c0,ffffff,
159,1,222,3,0070c0,ffffff,
160,1,223,3,0070c0,ffffff,
406,1,226,3,0070c0,ffffff,
165,1,227,3,0070c0,ffffff,
210,1,232,3,0070c0,ffffff,
211,1,236,3,0070c0,ffffff,
186,1,243,3,0070c0,ffffff,
189,1,246,3,0070c0,ffffff,
232,1,253,3,0070c0,ffffff,
215,1,261,3,0070c0,ffffff,
226,1,268,3,0070c0,ffffff,
474,1,278,3,0070c0,ffffff,
116,1,282,3,0070c0,ffffff,
399,1,300,3,0070c0,ffffff,
416,1,301,3,0070c0,ffffff,
198,1,302,3,0070c0,ffffff,
206,1,303,3,0070c0,ffffff,
203,1,304,3,0070c0,ffffff,
136,1,311,3,0070c0,ffffff,
134,1,312,3,0070c0,ffffff,
135,1,313,3,0070c0,ffffff,
400,1,323,3,0070c0,ffffff,
113,1,330,3,0070c0,ffffff,
234,1,331,3,0070c0,ffffff,
235,1,331Bis,3,0070c0,ffffff,
117,1,335,3,0070c0,ffffff,
115,1,336,3,0070c0,ffffff,
464,1,343,3,0070c0,ffffff,
242,1,361,3,0070c0,ffffff,
403,1,368,3,0070c0,ffffff,
184,1,381,3,0070c0,ffffff,
404,1,385,3,0070c0,ffffff,
429,1,R402,3,8064a2,ffffff,
390,1,R405,3,8064a2,ffffff,
515,1,R406,3,8064a2,ffffff,
516,1,R408,3,8064a2,ffffff,
428,1,R418,3,8064a2,ffffff,
178,1,R419,3,8064a2,ffffff,
190,1,R421,3,8064a2,ffffff,
125,1,R422,3,8064a2,ffffff,
173,1,R423,3,8064a2,ffffff,
187,1,R424,3,8064a2,ffffff,
225,1,R425,3,8064a2,ffffff,
168,1,R426,3,8064a2,ffffff,
394,1,R427,3,8064a2,ffffff,
420,1,R428,3,8064a2,ffffff,
389,1,R431,3,8064a2,ffffff,
379,1,R432,3,8064a2,ffffff,
388,1,R433,3,8064a2,ffffff,
129,1,R434,3,8064a2,ffffff,
231,1,R436,3,8064a2,ffffff,
392,1,R438,3,8064a2,ffffff,
131,1,R439,3,8064a2,ffffff,
380,1,R441,3,8064a2,ffffff,
212,1,R442,3,8064a2,ffffff,
381,1,R443,3,8064a2,ffffff,
396,1,R444,3,8064a2,ffffff,
382,1,R446,3,8064a2,ffffff,
366,1,R447,3,8064a2,ffffff,
365,1,R448,3,8064a2,ffffff,
308,1,R452,3,8064a2,ffffff,
307,1,R454,3,8064a2,ffffff,
409,1,R455,3,8064a2,ffffff,
391,1,R457,3,8064a2,ffffff,
305,1,R458,3,8064a2,ffffff,
393,1,R464,3,8064a2,ffffff,
304,1,R465,3,8064a2,ffffff,
426,1,R469,3,8064a2,ffffff,
517,1,R472,3,8064a2,ffffff,
230,1,R474,3,8064a2,ffffff,
138,1,R475,3,8064a2,ffffff,
177,1,R476,3,8064a2,ffffff,
395,1,R477,3,8064a2,ffffff,
208,1,N101,3,00b0f0,ffffff,
209,1,N102,3,00b0f0,ffffff,
196,1,N103,3,00b0f0,ffffff,
197,1,N104,3,00b0f0,ffffff,
192,1,N105,3,00b0f0,ffffff,
194,1,N106,3,00b0f0,ffffff,
204,1,N107,3,00b0f0,ffffff,
207,1,N108,3,00b0f0,ffffff,
199,1,N109,3,00b0f0,ffffff,
141,1,N110,3,00b0f0,ffffff,
140,1,N111,3,00b0f0,ffffff,
139,1,N112,3,00b0f0,ffffff,
137,1,N113,3,00b0f0,ffffff,
155,1,N114,3,00b0f0,ffffff,
154,1,N115,3,00b0f0,ffffff,
152,1,N116,3,00b0f0,ffffff,
149,1,N117,3,00b0f0,ffffff,
147,1,N118,3,00b0f0,ffffff,
145,1,N119,3,00b0f0,ffffff,
174,1,N120,3,00b0f0,ffffff,
169,1,N121,3,00b0f0,ffffff,
167,1,N122,3,00b0f0,ffffff,
171,1,N123,3,00b0f0,ffffff,
170,1,N124,3,00b0f0,ffffff,
176,1,N125,3,00b0f0,ffffff,
118,1,601,3,0070c0,ffffff,
119,1,605,3,0070c0,ffffff,
213,1,668,3,0070c0,ffffff,
112,1,682,3,0070c0,ffffff,
188,1,780,3,e36c09,ffffff,
179,1,781,3,e36c09,ffffff,
182,1,783,3,e36c09,ffffff,
398,1,784,3,e36c09,ffffff,
522,2,M1,1,FFCD00,ffffff,
519,2,M2,1,00009A,ffffff,
521,2,M3,1,CD3030,ffffff,
523,2,M4,1,006630,ffffff,
