stop_id,stop_name,stop_desc,stop_lat,stop_lon
3629,"Romprim","Sos. Oltenitei, Bucuresti",44.383889,26.145737
3628,"Soseaua Vitan Barzesti","Sos. Oltenitei, Bucuresti",44.385798,26.140058
3225,"Stadion","Sos. Oltenitei, Bucuresti",44.388996,26.132559
3222,"Lunca Barzesti","Sos. Oltenitei, Bucuresti",44.391402,26.126918
3196,"Piata Sudului","Sos. Oltenitei, Bucuresti",44.3938,26.121241
3151,"Pridvorului","Calea Vacaresti, Bucuresti",44.3989,26.120921
3487,"Pasaj Mihai Bravu","Sos. Mihai Bravu, Bucuresti",44.408071,26.121519
3450,"Pod Mihai Bravu","Sos. Mihai Bravu, Bucuresti",44.409578,26.123248
3129,"Penes Curcanul","Sos. Mihai Bravu, Bucuresti",44.412107,26.127938
3145,"Calea Vitan","Sos. Mihai Bravu, Bucuresti",44.415476,26.13353
3140,"Laborator","Sos. Mihai Bravu, Bucuresti",44.417279,26.135053
3136,"Calea Dudesti","Sos. Mihai Bravu, Bucuresti",44.419867,26.136577
3134,"Baba Novac","Sos. Mihai Bravu, Bucuresti",44.424961,26.137539
3446,"Gheorghe Petrascu","Sos. Mihai Bravu, Bucuresti",44.428455,26.138765
3357,"Piata Hurmuzachi","Sos. Mihai Bravu, Bucuresti",44.431414,26.139187
3451,"Vatra Luminoasa","Sos. Mihai Bravu, Bucuresti",44.43735,26.136509
3434,"Piata Iancului","Sos. Mihai Bravu, Bucuresti",44.440794,26.13392
3436,"Bd. Ferdinand","Sos. Mihai Bravu, Bucuresti",44.444252,26.128538
3223,"Bucur Obor","Sos. Mihai Bravu, Bucuresti",44.448659,26.125441
3235,"Lizeanu","Sos. Stefan cel Mare, Bucuresti",44.451848,26.12041
3157,"Dr. Grozovici","Sos. Stefan cel Mare, Bucuresti",44.452613,26.11594
3156,"Vasile Lascar","Sos. Stefan cel Mare, Bucuresti",44.452891,26.112019
3608,"Stadion Dinamo","Sos. Stefan cel Mare, Bucuresti",44.452985,26.105985
3204,"Calea Dorobantilor","Sos. Stefan cel Mare, Bucuresti",44.453018,26.099267
3207,"Roma","Bd. Iancu de Hunedoara, Bucuresti",44.452745,26.093919
3209,"Pasaj Victoria","Bd. Iancu de Hunedoara, Bucuresti",44.452535,26.091279
3104,"Dr. Felix","Sos. N.Titulescu, Bucuresti",44.452135,26.07996
3464,"Bd. Banu Manta","Sos. N.Titulescu, Bucuresti",44.452697,26.073936
3335,"Pasajul Basarab","Pasajul Basarab, Bucuresti",44.449969,26.068733
3430,"Pod Grozavesti","Bd. Vasile Milea, Bucuresti",44.442366,26.060353
3432,"Bd. Iuliu Maniu","Bd. Vasile Milea, Bucuresti",44.43476,26.054364
3426,"Bd. Timisoara","Bd. Vasile Milea, Bucuresti",44.429072,26.054458
3189,"Piata Danny Huwe","Sos. Progresului, Bucuresti",44.428511,26.062144
9237,"Cartier Panduri","Sos. Progresului, Bucuresti",44.425509,26.065842
3117,"Calea 13 Septembrie","Sos. Progresului, Bucuresti",44.422564,26.069668
3119,"Inox","Sos. Progresului, Bucuresti",44.41883,26.074591
3121,"Calea Rahovei","Sos. Progresului, Bucuresti",44.415154,26.079109
3123,"Spatarul Preda","Sos. Progresului, Bucuresti",44.411556,26.083396
3462,"Soseaua Viilor","Str. Dr.Istrati, Bucuresti",44.411062,26.088486
3112,"Stefan Hepites","Sos. Viilor, Bucuresti",44.40766,26.092056
3641,"Piata Eroii Revolutiei","Sos. Viilor, Bucuresti",44.40566,26.095432
3642,"Cimitirul Serban Voda","Sos. Oltenitei, Bucuresti",44.401919,26.098726
3644,"Opris Ilie","Sos. Oltenitei, Bucuresti",44.399868,26.105157
3643,"Bd. Constantin Brancoveanu","Sos. Oltenitei, Bucuresti",44.398396,26.109219
3645,"Husi","Sos. Oltenitei, Bucuresti",44.396234,26.114877
3490,"Piata Sudului","Sos. Oltenitei, Bucuresti",44.394234,26.120074
3252,"Piata Sudului","Sos. Oltenitei, Bucuresti",44.393573,26.121724
3220,"Lunca Barzesti","Sos. Oltenitei, Bucuresti",44.391081,26.127571
3219,"Stadion","Sos. Oltenitei, Bucuresti",44.389013,26.132426
3632,"Soseaua Vitan Barzesti","Sos. Oltenitei, Bucuresti",44.386382,26.138586
3620,"Romprim","Sos. Oltenitei, Bucuresti",44.38366,26.146168
3221,"Piata Presei","Piata Presei Libere, Bucuresti",44.475807,26.071744
3573,"Universitatea Romano-Americana","Bd. Expozitiei, Bucuresti",44.474478,26.066827
3373,"Bd. Expozitiei","Bd. Expozitiei, Bucuresti",44.473408,26.059777
3538,"Grivita","Bd. Expozitiei, Bucuresti",44.472784,26.055674
3513,"Bd. Ion Mihalache","Str. Putul Lui Craciun, Bucuresti",44.471523,26.051841
3277,"Carpati","Calea Grivitei, Bucuresti",44.472556,26.048958
3246,"Soseaua Chitilei","Sos. Chitilei, Bucuresti",44.476712,26.044584
3537,"Navigatiei","Sos. Chitilei, Bucuresti",44.478021,26.040749
3249,"Minerva","Sos. Chitilei, Bucuresti",44.479251,26.037695
3250,"Crinului","Sos. Chitilei, Bucuresti",44.480923,26.033519
3253,"Subcetate","Sos. Chitilei, Bucuresti",44.482517,26.029567
3241,"Mezes","Sos. Chitilei, Bucuresti",44.485426,26.022909
3579,"Mezes","Sos. Chitilei, Bucuresti",44.484806,26.023453
3578,"Marmurei","Sos. Chitilei, Bucuresti",44.482369,26.02984
3577,"Crinului","Sos. Chitilei, Bucuresti",44.480761,26.033839
3576,"Minerva","Sos. Chitilei, Bucuresti",44.479085,26.038003
3463,"Navigatiei","Sos. Chitilei, Bucuresti",44.477866,26.041045
3575,"Bd. Bucurestii Noi","Sos. Chitilei, Bucuresti",44.476699,26.045036
3574,"Carpati","Calea Grivitei, Bucuresti",44.472291,26.049104
3224,"Clabucet","Bd. Ion Mihalache, Bucuresti",44.471078,26.051762
3389,"Grivita","Str.Clabucet, Bucuresti",44.473152,26.053984
