stop_id,stop_name,stop_desc,stop_lat,stop_lon
995,"Sere (C.L.)","Sere",44.151345,28.60229
1329,"Facultativa","undefined",44.155084,28.60735
1185,"Piata CET","Piata CET",44.159515,28.609628
1222,"Cumpenei","Cumpenei",44.162213,28.604241
1224,"Dobrogea ","Dobrogea ",44.164908,28.598642
1226,"Alba Iulia  ","Alba Iulia",44.174338,28.594629
1235,"TAM ","TAM ",44.177738,28.595623
1236,"TAR S.A.   ","TAR S.A. ",44.184081,28.598512
1242,"SCUT S.A. ","SCUT S.A. ",44.187209,28.599979
1243,"Bariera ","Bariera ",44.191142,28.601808
1251,"Metro  ","Metro  ",44.197802,28.605313
1258,"Targ ","Targ",44.200285,28.607399
1310,"Obor  ","Obor  ",44.203833,28.61107
1312,"Peco  ","Peco  ",44.206045,28.613324
1230,"Scapino (1,3,3B,43C,43M)","Scapino",44.206319,28.617634
1228,"Boema  ","Boema  ",44.203743,28.621614
1217,"Brotacei","Brotacei",44.203576,28.623465
1012,"Bulevardul Tomis","Bulevardul Tomis",44.201006,28.627512
1229,"Boema ","Boema ",44.203469,28.622202
1231,"Scapino","Scapino",44.206385,28.617598
1311,"Peco ","Peco ",44.206217,28.613446
1309,"Obor","Obor",44.20385,28.611016
1158,"Vivo","Vivo",44.199329,28.606373
1250,"Metro ","Metro ",44.197073,28.604765
1244,"Bariera ","Bariera ",44.191646,28.601848
1241,"SCUT S.A.- sens PIATA CET","SCUT S.A.- sens PIATA CET",44.186901,28.5998
1237,"TAR S.A. ","TAR S.A.",44.184509,28.598665
1234,"RAJA  ","RAJA  ",44.177237,28.595352
1225,"Alba Iulia ","Alba Iulia ",44.173585,28.594602
1181,"Dobrogea","Dobrogea",44.164756,28.598866
1223,"Lukoil","Lukoil",44.163882,28.600651
1182,"Cumpenei","Cumpenei",44.161323,28.605681
1183,"Piata CET","Piata CET",44.159087,28.61041
1330,"Facultativa","undefined",44.154654,28.606735
996,"Sere - debarcare (C.L.)","Sere",44.151556,28.60259
1220,"Tomis Nord (C.L.)","Tomis Nord",44.211156,28.623729
1227,"Dobrila Eugeniu  ","Dobrila Eugeniu  ",44.209135,28.620279
1218,"Brotacei","Brotacei",44.205022,28.623461
1172,"Macul Rosu","Macul Rosu",44.201852,28.62448
1212,"Tomis 3","Tomis 3",44.199376,28.628224
1210,"Dacia","Dacia",44.19608,28.63326
1197,"Colegiul Tehnic Tomis","Colegiul Tehnic Tomis",44.191285,28.639755
1194,"Spitalul Judetean","Spitalul Judetean",44.188155,28.642441
1192,"Institutul de proiectari","Institutul de proiectari",44.185495,28.644859
1101,"Colegiul C-tin Bratescu","Colegiul C-tin Bratescu",44.182799,28.645372
1366,"Piata Unirii","undefined",44.178663,28.650363
1102,"Centru","Centru",44.177619,28.649779
1103,"Republica","Republica",44.175676,28.645805
1104,"Politie","Politie",44.173496,28.641663
1105,"Spitalul Mun."," Spitalul Mun.",44.171273,28.638778
1215,"Gara C.F.R.","Gara C.F.R.",44.168617,28.633677
1138,"Spitalul CFR","Spitalul CFR",44.165005,28.633227
1047,"Facultativa","Facultativa",44.162732,28.63222
1049,"Far","Far",44.158969,28.631619
1304,"Faleza Sud"," ",44.154055,28.630868
1306,"Plopilor"," ",44.151962,28.62987
1315,"Petru Cercel","Petru Cercel",44.149272,28.628529
1317,"Liceul de Marina","undefined",44.146035,28.631192
1318,"Complex","Complex",44.143106,28.631803
1319,"Facultativa","Facultativa",44.139349,28.631782
583,"Poarta 6 (C.L.) ","Poarta 6 ",44.138251,28.632959
1322,"Facultativa","undefined",44.140435,28.628705
1323,"Scoala 41","undefined",44.142583,28.627924
1324,"Liceul de Marina","undefined",44.145674,28.62706
1316,"Petru Cercel","undefined",44.148869,28.628365
1305,"Plopilor","Plopilor ",44.152142,28.630004
1303,"Faleza Sud"," ",44.154049,28.630908
1050,"Far","Far",44.158938,28.631662
1048,"Facultativa","Facultativa",44.162645,28.632235
1139,"Spitalul CFR","Spitalul CFR",44.165353,28.633474
1156,"Statie Parc Ferdinand","undefined",44.169407,28.633955
1163,"Spitalul Municipal","Spitalul Municipal",44.170863,28.638262
1164,"Politie","Politie",44.173561,28.641807
1165,"Republica","Republica",44.175009,28.644535
1166,"Fantasio","Fantasio",44.177205,28.649004
1079,"Centru","Centru",44.178883,28.65244
1080,"CMJ","CMJ",44.182882,28.649567
