route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
43,SD,TRIP4300,"Bulevardul Tomis",0,430
43,SD,TRIP4301,"Bulevardul Tomis",0,430
43,SD,TRIP4302,"Bulevardul Tomis",0,430
43,SD,TRIP4303,"Bulevardul Tomis",0,430
43,SD,TRIP4304,"Bulevardul Tomis",0,430
43,SD,TRIP4305,"Bulevardul Tomis",0,430
43,SD,TRIP4306,"Bulevardul Tomis",0,430
43,SD,TRIP4310,"Sere (C.L.)",1,431
43,SD,TRIP4311,"Sere (C.L.)",1,431
43,SD,TRIP4312,"Sere (C.L.)",1,431
43,SD,TRIP4313,"Sere (C.L.)",1,431
43,SD,TRIP4314,"Sere (C.L.)",1,431
43,SD,TRIP4315,"Sere (C.L.)",1,431
43,SD,TRIP4316,"Sere (C.L.)",1,431
44,SD,TRIP4410,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4411,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4412,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4413,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4414,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4415,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4416,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4417,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4418,"Tomis Nord (C.L.)",1,441
44,SD,TRIP4419,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44110,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44111,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44112,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44113,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44114,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44115,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44116,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44117,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44118,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44119,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44120,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44121,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44122,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44123,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44124,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44125,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44126,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44127,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44128,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44129,"Tomis Nord (C.L.)",1,441
44,SD,TRIP44130,"Tomis Nord (C.L.)",1,441
